DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,21674.275309
01/07/2013,-90,21819.158939
01/07/2013,-75,21577.701649
01/07/2013,-60,21538.008315
01/07/2013,-45,21021.863567
01/07/2013,-30,21149.961595
01/07/2013,-15,20928.297538
01/07/2013,0,20818.10478
01/07/2013,15,20398.121972
01/07/2013,30,20420.926677
01/07/2013,45,20526.822862
01/07/2013,60,20448.730825
01/07/2013,75,20563.504802
01/07/2013,90,21781.495488
01/07/2013,105,22509.499896
01/07/2013,120,22385.644958
01/07/2013,135,22242.424154
01/07/2013,150,22416.578927
01/07/2013,165,22349.696562
01/07/2013,180,23232.155161
01/07/2013,195,25599.723094
01/07/2013,210,25537.201775
01/07/2013,225,26068.013061
01/07/2013,240,29997.216169
01/07/2013,255,36530.554026
01/07/2013,270,39973.808228
01/07/2013,285,42279.654548
01/07/2013,300,43609.590914
01/07/2013,315,45171.045517
01/07/2013,330,46057.965654
01/07/2013,345,46732.627453
01/07/2013,360,47515.045558
01/07/2013,375,48375.159519
01/07/2013,390,48599.44437
01/07/2013,405,48916.680481
01/07/2013,420,49210.324475
01/07/2013,435,49396.409196
01/07/2013,450,48796.708342
01/07/2013,465,48794.485396
01/07/2013,480,48440.563054
01/07/2013,495,47040.756961
01/07/2013,510,48131.199687
01/07/2013,525,48081.611088
01/07/2013,540,47202.291121
01/07/2013,555,46926.222449
01/07/2013,570,47082.688161
01/07/2013,585,48487.770512
01/07/2013,600,48728.18976
01/07/2013,615,49232.618677
01/07/2013,630,49575.527804
01/07/2013,645,49743.523259
01/07/2013,660,49344.644876
01/07/2013,675,49130.587393
01/07/2013,690,49475.556649
01/07/2013,705,48512.124295
01/07/2013,720,46496.997139
01/07/2013,735,45199.642041
01/07/2013,750,45980.858226
01/07/2013,765,45329.404839
01/07/2013,780,45491.743212
01/07/2013,795,45176.656605
01/07/2013,810,44879.012239
01/07/2013,825,44113.174321
01/07/2013,840,44292.187179
01/07/2013,855,44323.828166
01/07/2013,870,43972.133941
01/07/2013,885,43458.902462
01/07/2013,900,42914.720378
01/07/2013,915,42244.468759
01/07/2013,930,41108.854743
01/07/2013,945,40772.403256
01/07/2013,960,39780.534301
01/07/2013,975,37616.221331
01/07/2013,990,37721.702402
01/07/2013,1005,39008.476562
01/07/2013,1020,38848.972744
01/07/2013,1035,39309.001983
01/07/2013,1050,39887.856509
01/07/2013,1065,40141.147321
01/07/2013,1080,39825.823586
01/07/2013,1095,39106.622093
01/07/2013,1110,38903.240156
01/07/2013,1125,39525.030499
01/07/2013,1140,39758.080191
01/07/2013,1155,39408.368213
01/07/2013,1170,39248.092353
01/07/2013,1185,37579.257128
01/07/2013,1200,34629.172646
01/07/2013,1215,33468.597622
01/07/2013,1230,33620.909757
01/07/2013,1245,33662.494737
01/07/2013,1260,33526.762118
01/07/2013,1275,33618.201335
01/07/2013,1290,33667.046932
01/07/2013,1305,33033.895167
01/07/2013,1320,32745.042261
02/07/2013,-105,32325.903864
02/07/2013,-90,32116.599291
02/07/2013,-75,32120.84065
